 written on 23Jan2026 at 14:34:11 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    2    2   -0.45662304E-03  0.46481149E-10

    4   -2    0
    1    1    0.65656675E-03 -0.21740481E-09
    2    1   -0.48232440E-03  0.36349790E-09
    1    2   -0.69529905E-03  0.12645093E-09
    2    2    0.65651893E-03  0.13813532E-09

    4   -1    0
    1    1   -0.45655263E-03 -0.12035399E-09
    2    1   -0.48232591E-03 -0.33758750E-09
    1    2    0.74917531E-03  0.42450488E-11
    2    2   -0.45662278E-03  0.32027259E-10

    4    0    0
    1    1   -0.68370510E-03 -0.12162687E-09
    2    1    0.32833735E-03 -0.19018959E-09
    1    2   -0.23179469E-03 -0.75593060E-10
    2    2   -0.68372686E-03  0.92524617E-10

    4    1    0
    1    1   -0.14012090E-03 -0.73757935E-10
    2    1    0.74917548E-03  0.40534499E-10
    1    2    0.67204763E-03 -0.14031178E-09
    2    2   -0.14011067E-03  0.70770870E-10

    4    2    0
    1    1    0.19133021E-04 -0.28213867E-10
    2    1    0.10800799E-03  0.19327761E-09
    1    2   -0.12695554E-03 -0.24699201E-10
    2    2    0.19150860E-04  0.51607900E-10

    5   -5    0
    1    1    0.96841400E-03  0.53727582E-16
    2    1   -0.23292552E-04  0.27554594E-09
    1    2   -0.23292552E-04 -0.27554577E-09
    2    2    0.96846240E-03  0.48573416E-16

    5   -4    0
    1    1   -0.14012078E-03  0.98525488E-10
    2    1   -0.23179446E-03  0.31141919E-09
    1    2    0.10800819E-03  0.46526311E-10
